I, [2019-09-01T08:03:57.141955 #15799]  INFO -- : Refreshing Gem list
I, [2019-09-01T08:03:59.023859 #15799]  INFO -- : listening on addr=/var/www/freemarket_sample_53b/shared/tmp/sockets/unicorn.sock fd=11
I, [2019-09-01T08:03:59.029603 #15799]  INFO -- : master process ready
I, [2019-09-01T08:03:59.035754 #15802]  INFO -- : worker=0 ready
I, [2019-09-01T08:03:59.333548 #15831]  INFO -- : executing ["/var/www/freemarket_sample_53b/shared/bundle/ruby/2.5.0/bin/unicorn", "-c", "/var/www/freemarket_sample_53b/current/config/unicorn.rb", "-E", "deployment", "-D", {11=>#<Kgio::UNIXServer:/var/www/freemarket_sample_53b/shared/tmp/sockets/unicorn.sock>}] (in /var/www/freemarket_sample_53b/releases/20190901080345)
I, [2019-09-01T08:03:59.333641 #15831]  INFO -- : forked child re-executing...
I, [2019-09-01T08:03:59.599559 #15831]  INFO -- : inherited addr=/var/www/freemarket_sample_53b/shared/tmp/sockets/unicorn.sock fd=11
I, [2019-09-01T08:03:59.599783 #15831]  INFO -- : Refreshing Gem list
I, [2019-09-01T08:04:01.451125 #15831]  INFO -- : master process ready
I, [2019-09-01T08:04:01.455714 #15872]  INFO -- : worker=0 ready
I, [2019-09-01T08:04:01.545258 #15799]  INFO -- : reaped #<Process::Status: pid 15802 exit 0> worker=0
I, [2019-09-01T08:04:01.545361 #15799]  INFO -- : master complete
59.37.167.136 - - [02/Sep/2019:20:53:56 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:00 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:00 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:04 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:04 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:08 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:08 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:12 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:12 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:20 +0000] "GET /404 HTTP/1.0" 404 1722 0.0020
59.37.167.136 - - [02/Sep/2019:20:54:20 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:24 +0000] "GET /404 HTTP/1.0" 404 1722 0.0017
59.37.167.136 - - [02/Sep/2019:20:54:24 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:24 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:25 +0000] "GET /404 HTTP/1.0" 404 1722 0.0018
59.37.167.136 - - [02/Sep/2019:20:54:25 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:25 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:28 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:28 +0000] "GET /404 HTTP/1.0" 404 1722 0.0013
59.37.167.136 - - [02/Sep/2019:20:54:28 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:29 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:29 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:29 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:32 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:32 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:32 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:33 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:33 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:33 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:36 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:36 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:36 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:37 +0000] "GET /404 HTTP/1.0" 404 1722 0.0018
59.37.167.136 - - [02/Sep/2019:20:54:37 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:37 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:40 +0000] "GET /404 HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:40 +0000] "GET /404 HTTP/1.0" 404 1722 0.0017
59.37.167.136 - - [02/Sep/2019:20:54:40 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:41 +0000] "GET /404 HTTP/1.0" 404 1722 0.0045
59.37.167.136 - - [02/Sep/2019:20:54:41 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:41 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:44 +0000] "GET /404?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%48%50 HTTP/1.0" 404 1722 0.0018
59.37.167.136 - - [02/Sep/2019:20:54:44 +0000] "GET /404?content=die(md5(HelloThinkPHP)) HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:44 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:45 +0000] "GET /404?s=/module/action/param1/${@die(md5(HelloThinkPHP))} HTTP/1.0" 404 1722 0.0016
59.37.167.136 - - [02/Sep/2019:20:54:45 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:45 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:48 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:48 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:48 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:49 +0000] "GET /404 HTTP/1.0" 404 1722 0.0017
59.37.167.136 - - [02/Sep/2019:20:54:49 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:49 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:52 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:52 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:52 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:53 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:53 +0000] "GET /404?f=1 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:53 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:56 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:56 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:56 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:57 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:54:57 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:54:57 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:00 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:00 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:00 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:01 +0000] "GET /404?ssp=RfVbHu HTTP/1.0" 404 1722 0.0018
59.37.167.136 - - [02/Sep/2019:20:55:01 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:01 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:04 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:04 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:04 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:05 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:05 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:05 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:08 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:08 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:08 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:09 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:09 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:09 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:12 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:12 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:12 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:13 +0000] "GET /404 HTTP/1.0" 404 1722 0.0018
59.37.167.136 - - [02/Sep/2019:20:55:13 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:13 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0015
59.37.167.136 - - [02/Sep/2019:20:55:16 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:17 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:17 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
59.37.167.136 - - [02/Sep/2019:20:55:17 +0000] "GET /404 HTTP/1.0" 404 1722 0.0014
